Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
192,0.0979398809627684,0.0895672309810989,0.139645841272441,0.0557633620529571
193,0.0979204649518515,0.0896213964236834,0.13971996323828,0.055684186981402
194,0.0980475421339291,0.089675530772112,0.139763610174725,0.0556331404593682
195,0.0980904005876132,0.0897458197105981,0.13979313098398,0.0555680282107673
196,0.0981680226027467,0.0898606010451628,0.139788537058958,0.0555087213158932
197,0.0982558504100929,0.0898240717376158,0.139783812360412,0.0554783296450946
198,0.0983736790388074,0.089831079771875,0.139651488353172,0.0554010287494437
199,0.0984356011673454,0.0899006405012187,0.139601452677631,0.0553536373223119
200,0.0984731096522184,0.0898738612051683,0.139617003954515,0.0553635951645029
201,0.0984508616626971,0.0899159002240573,0.139528626857322,0.0553910691201869
202,0.0985265739082896,0.0899511567577319,0.139501370213299,0.0553689633542578
203,0.0985587908047925,0.0899046300207477,0.139546042745677,0.0553288082528478
204,0.0985608502576287,0.0898763576177353,0.139455740645315,0.0552798637272188
205,0.0985998491194238,0.0898776462717959,0.13949774139455,0.0552654429129435
206,0.0986697214239859,0.0899349465174281,0.13946125539911,0.0552031181013735
207,0.0987205892198282,0.0899555156851023,0.139437279235229,0.0551932311162314
208,0.0987516733110117,0.0900224071306299,0.139465527934825,0.0551315242965385
209,0.0988155839446229,0.090017165204,0.139554798967179,0.0551625051099152
210,0.0988329566775635,0.0901333048158736,0.139586616833485,0.0550912006363778
211,0.0988706843449869,0.0902046772199443,0.139544397587731,0.0550318815596737
212,0.0988864727251961,0.0902484737081734,0.139542143636022,0.055014976886315
213,0.0989080529484423,0.0902724163652089,0.139524994408692,0.055030118828171
214,0.0988996196162155,0.0903868432611881,0.139497743141354,0.0549666376244089
215,0.0988491794471479,0.0904352550668332,0.139588757709197,0.0549693847607714
216,0.0988688935649847,0.0905369037221982,0.139510701755383,0.0549810922345651
217,0.0988846733782674,0.0905996533510734,0.139440205618641,0.054928038902305
218,0.0989306201765854,0.0906331008095842,0.139501368748509,0.0548619652725783
219,0.0990512133188401,0.0906831173156714,0.139455954664282,0.0548208607188451
220,0.0991120657959171,0.0907454942583367,0.139499545966154,0.0547872407587582
221,0.0992262663005861,0.0908031486986923,0.139489241999038,0.0547560575473949
222,0.0992906015427261,0.0908668464761268,0.139457631778687,0.0547547567611442
223,0.0993456769562028,0.0909252782626711,0.139464527887105,0.054729744930203
224,0.0993592908912296,0.0909856328932419,0.139558894901515,0.0546826241751515
225,0.0993715790637751,0.0910342462223323,0.13956384859202,0.0546492523225411
226,0.0994328484282031,0.0911253484503241,0.139597269514365,0.0546660368161731
227,0.099536426348226,0.0912663081647772,0.13948327469943,0.0546166050140242
228,0.0995355880962585,0.0913527059612127,0.139523589870226,0.0545806401741246
229,0.099535941123452,0.0913090861060084,0.139524462069116,0.054554576794176
230,0.0995918972308978,0.091369073426888,0.139425887173542,0.0545557342434497
231,0.0996392114219469,0.0914757933219869,0.139406498379279,0.0545133559241851
232,0.0996617281699809,0.0914812885937364,0.139454082064075,0.0544940302553728
233,0.0996925370217978,0.0914750318435661,0.139404044900378,0.0545142205574684
234,0.0997641025466957,0.0914940803049983,0.139403664099175,0.0544957108382298
235,0.0998857888497793,0.0915217363012225,0.13945158075884,0.0544914516449388
236,0.0998872113781829,0.0915715896407263,0.139478921285565,0.0544427716040324
237,0.0999163685411085,0.0915873284217395,0.139495578263972,0.0544206185279203
238,0.0999735585512277,0.0915687578576251,0.139471455786501,0.0544346753355252
239,0.0999657649981656,0.0915679663987132,0.139597895168599,0.0544468789011224
240,0.0999478996852157,0.0915938492041437,0.139636241835212,0.0544279894316815
241,0.100001300685849,0.091562084910945,0.139665286193974,0.054406514944315
242,0.100104312017815,0.091507587376235,0.139652267265969,0.0543644492874631
243,0.100089187773827,0.0915601702350266,0.139659355385864,0.0543275677929742
244,0.100110231903991,0.0915703586530634,0.139645287446936,0.0543123098131034
245,0.100184057044437,0.0916062465919118,0.139628325383781,0.0543297275802903
246,0.10024602928283,0.091635998836997,0.139624135136084,0.0543397915007753
247,0.100260810850106,0.0917750924669352,0.139587562853048,0.0543316018620557
248,0.100263703686108,0.0917874014467732,0.139654724589118,0.0543091976892803
249,0.100267063932788,0.0917853305828498,0.139647143399407,0.0542847804013722
250,0.1003272102535,0.0918027195226182,0.139626281703511,0.0542723771127683
251,0.10038341728499,0.091843120556807,0.139659966198058,0.0542367798557907
252,0.100443417470688,0.0918649068442854,0.139611584789262,0.05419971553952
253,0.100449832008489,0.0918544162078571,0.139693829508345,0.0541786410883166
254,0.100519126230698,0.091849846607257,0.139616801457154,0.0541764645612989
255,0.100543987291022,0.0919110411600041,0.139701012314028,0.0541519120097466
256,0.100597627441089,0.0919657115814762,0.139662667556639,0.0541602698767057
257,0.100588300394946,0.0919996782598545,0.139626200507521,0.0541222034749888
258,0.100577238563863,0.091961507351063,0.139629090229976,0.0541053827723472
259,0.100560183095876,0.0920149772091004,0.139581190130878,0.0541224253599327
260,0.100602527944623,0.0920400556140332,0.139578666486899,0.0541290531846096
261,0.100641995125081,0.0921023617095359,0.139597184843524,0.0541103483141433
262,0.100735188539853,0.0921075838396079,0.139575768068524,0.0540761375199325
263,0.100767158792066,0.0920878273474015,0.139573148253729,0.054061559241932
264,0.10074185630758,0.0920530776537159,0.139541676108602,0.0540341548910053
265,0.100779495251381,0.0920761636497623,0.139517402814276,0.0540387622244309
266,0.100771544943777,0.0921234061564138,0.139481700889872,0.0540215910069535
267,0.100779665432746,0.0921331692263956,0.139449458639849,0.0539728821614482
268,0.100783066893092,0.0921693789046063,0.139534907579223,0.0539448017718647
269,0.100801711572142,0.0921807410196,0.139500657901916,0.0538992166105665
270,0.100823919625088,0.0922369404773705,0.139587734708194,0.0539085469658465
271,0.100917377944033,0.0922526933637842,0.139607890915763,0.0538742439888352
272,0.100933143168114,0.0922631670767032,0.139589822968416,0.0538800324446629
273,0.100984785016143,0.0922971600605049,0.139611658530511,0.0538505060684736
274,0.101022024458757,0.0923165524426336,0.139632747291988,0.0538771560750497
275,0.101028868090495,0.0923407904825847,0.139572231783142,0.0538354289437189
276,0.101061862769416,0.0923582588988465,0.139619857386367,0.0538243606108738
277,0.101113785473743,0.0923962150387811,0.13970388764773,0.0538437855250893
278,0.101126614886482,0.0923714632377894,0.139717986277298,0.053822697212506
279,0.101104178201614,0.0923565455954949,0.139746456264116,0.0538037109795923
280,0.101103532880675,0.0923958575967728,0.139709654620246,0.0537763095582168
281,0.101112705084756,0.0924070176357343,0.139734542837881,0.0537598087927555
282,0.10114183206958,0.0923777865010386,0.139809618552136,0.0537384818641375
283,0.101203499240387,0.0924517342021318,0.139830542073791,0.0537136857150019
284,0.101246578951792,0.0925254209011971,0.139846783451822,0.0536911447140218
285,0.101326025934352,0.0925295206656931,0.139829597408572,0.0536699037400466
286,0.101383834221603,0.0925176968230267,0.139817472641904,0.0536531454173831
287,0.101367603711597,0.0925484470036313,0.139834175852422,0.053650337815481
288,0.101385926338539,0.092550246628625,0.139831124019491,0.0536209059292873
289,0.101361458098651,0.0925964962533722,0.139806145331899,0.0536342532056992
