Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
311,0.362114586938657,0.25893823672869,0.611849944148687,0.551334383697319
312,0.362234262254536,0.258919023355836,0.611609304255589,0.550873896944158
313,0.362206442263232,0.259054599041099,0.611248333627267,0.550559765593468
314,0.362269690350315,0.25920296291099,0.610892958501111,0.550155992321936
315,0.362179271197326,0.259284724923731,0.610544792008991,0.549853077966907
316,0.362127195972353,0.259404024816546,0.610245825867312,0.549362069785122
317,0.362180991701415,0.259483785708307,0.609972597504986,0.548894966145602
318,0.362088919567666,0.259525647815941,0.609707147845718,0.548630950391124
319,0.362065871912761,0.259702834207718,0.609260093146314,0.548169462535952
320,0.361922228611654,0.259748565703925,0.608904911958893,0.547685192336397
321,0.361939538817759,0.259780455289904,0.608554775543259,0.547247252927746
322,0.361942509208875,0.259781822879314,0.608279991221666,0.547023987325542
323,0.361903129679494,0.259835287241984,0.607856699886951,0.546514555783056
324,0.361785645052048,0.259867650035845,0.607729453986483,0.546379834294822
325,0.361800353364832,0.259905671904614,0.607380083787857,0.546033162724031
326,0.361693694823058,0.259980935347224,0.606995365958888,0.545812482723633
327,0.361633259425285,0.260047620593317,0.606711246514007,0.545458668852567
328,0.361637326096259,0.260089696469513,0.606487941840719,0.545118810330077
329,0.361708605395176,0.260118746935954,0.606089653108598,0.544839702766964
330,0.36168484291907,0.260225892551695,0.605844106939521,0.544617687446947
331,0.361898427487992,0.260301137079597,0.605623474721487,0.544441245515107
332,0.361890947653877,0.260336456660783,0.605604774113445,0.544190516112736
333,0.361834116559497,0.260214287427003,0.605334438458878,0.543983056088177
334,0.361862106727061,0.260362240873573,0.604821044256578,0.543588350440954
335,0.361821472044847,0.260408021681277,0.604571170232343,0.543353741781167
336,0.361793342820376,0.260371428122028,0.604398413133175,0.54304318699062
337,0.361713988313366,0.260416047910623,0.604152251345135,0.542879387163674
338,0.361518959781461,0.260437963476823,0.603770956431073,0.542551612119389
339,0.361396262776033,0.260501498640407,0.603457722522689,0.54213684369418
340,0.361403671098788,0.260474392367684,0.603034630739881,0.541695356985784
341,0.361462183159189,0.260458969442181,0.602796279010486,0.541519064951242
342,0.361444598206056,0.260478636465468,0.60251637039481,0.541109821813883
343,0.36137976847725,0.260404548089046,0.602293130763138,0.540677563801575
344,0.361345801988031,0.260406656507301,0.6018406386233,0.540528893330311
345,0.36140973967439,0.260383819246582,0.601537031476508,0.540105834681742
346,0.361396978708676,0.260422824587591,0.601182544176859,0.539837568570993
347,0.361375562579478,0.260482435166618,0.600957630267211,0.539522001529362
348,0.361350276006069,0.260485640762132,0.60048168169544,0.539227462055887
349,0.361441403901328,0.260583246226428,0.600246714164393,0.538832331470065
350,0.361338532478161,0.260667719064679,0.60003798126689,0.53849537363458
351,0.361371511260143,0.26070034515681,0.599860010325696,0.538175844987807
352,0.361346147049699,0.260773061053529,0.599669911989749,0.537831530148347
353,0.361354648474038,0.260830982551709,0.599048783887417,0.537509031391849
354,0.361331127590235,0.26093792265116,0.598682632179176,0.537318858689506
355,0.361401870010808,0.261017814285646,0.598492531108007,0.536960588122217
356,0.361376014228894,0.260952669616556,0.59812825736573,0.536749086326517
357,0.361323232595098,0.260925643023555,0.597863514497744,0.536505662560626
358,0.361354103725863,0.261004050495372,0.597487081474562,0.536152640486923
359,0.361358634890603,0.261001870744647,0.597400466051819,0.535972084410396
360,0.361371867656233,0.261076624810426,0.597081124252962,0.535663757691339
361,0.361338775952683,0.261181224647655,0.59665920865323,0.535415542546223
362,0.361407764893304,0.261243402058722,0.596333337127821,0.535062207738809
363,0.361352252518562,0.261344609242423,0.596050502304459,0.534850957893102
364,0.361314270578482,0.261340172384567,0.595767584693042,0.534523055949803
365,0.361312922686569,0.261428731113052,0.595480015975291,0.534150106923434
366,0.361343856017403,0.261516346202283,0.595178139751849,0.533957973737971
367,0.361256909419355,0.261524382621176,0.595001626891985,0.533743405676864
368,0.361307162529531,0.261563336186766,0.594763776230508,0.533631745492142
369,0.361271352905502,0.261565194169415,0.59443742722575,0.533419853370815
370,0.361232358937678,0.26162536393239,0.594032788871305,0.533201010529598
371,0.361301076379727,0.261653672075921,0.593780562971855,0.533068775767807
372,0.361277526687247,0.261732590212923,0.593377084299936,0.532816414658179
