Figure 13 (bottom-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of individual RPs that are different from the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
311,0.520735950739006,0.456808829997547,0.614008202873214,0.539154133676048
312,0.520806716812568,0.456834749005828,0.614183517042386,0.539130882121941
313,0.520899081799535,0.456919402875452,0.614301936619756,0.539085338074177
314,0.520952962366421,0.456885233156713,0.614269742889892,0.539101321088332
315,0.521028741220132,0.457012419822395,0.614311174500927,0.539106677347928
316,0.521108498171956,0.457106838750364,0.614497210396669,0.539028163820074
317,0.521180779360601,0.457171260025637,0.614532514409786,0.539040287141192
318,0.521254824992253,0.45720406018869,0.614610046965208,0.539091901757921
319,0.521416225497762,0.457256492289567,0.61459796716506,0.539160436832688
320,0.52154764725308,0.457293365354222,0.614636429067751,0.539294587209236
321,0.521619001481923,0.457366189009713,0.614767904208709,0.539295551199872
322,0.521667661013399,0.457399644597448,0.61478164840256,0.539313159753496
323,0.521740914466008,0.457499881108116,0.61486185967783,0.539206394633165
324,0.521837830698684,0.457591465521386,0.614917873558214,0.539217745281754
325,0.52187857613054,0.45763019209631,0.614984566214502,0.539196625418305
326,0.521965345738645,0.457686462265861,0.615172909167167,0.539103063758082
327,0.521997018604952,0.457753418954534,0.615311235626104,0.539116345679551
328,0.522004562575776,0.45783206513453,0.615353863798053,0.539264135611689
329,0.522133955543427,0.457920209975676,0.615289835679689,0.539291472590428
330,0.522249272927645,0.458009864535426,0.615401901231817,0.539271901208591
331,0.522359533479139,0.458089671365475,0.615476275946167,0.539267752496085
332,0.522419048433642,0.458163014074557,0.61546695043696,0.539329219042362
333,0.522483306469724,0.458199144645604,0.615398385864179,0.539235592184499
334,0.522452730671353,0.458305912757729,0.61541325914204,0.539305161654849
335,0.522507632856989,0.458291756744545,0.615492042100725,0.539405985847125
336,0.52258474276826,0.458406121751164,0.615511748653304,0.539436455740713
337,0.522633495457097,0.458501622685578,0.615583352488381,0.539407929616408
338,0.522762323905809,0.458603796163797,0.615640834533852,0.539396332103713
339,0.522878942018626,0.458687605518986,0.615779488375962,0.539418216011219
340,0.522939633099489,0.458815252312485,0.615836527845004,0.539460580045838
341,0.523042302849527,0.458849493894979,0.615866377500249,0.539529264979071
342,0.523110214019353,0.458883770516268,0.61589676336709,0.539482479901907
343,0.523156334109029,0.458959728402355,0.61604054821076,0.539486142852098
344,0.523272171445123,0.459004884761318,0.615964621157263,0.539528785966963
345,0.523364353606444,0.459106933668443,0.616091120373352,0.539500180172762
346,0.523417252871677,0.459285877826165,0.616081606738276,0.539528488557112
347,0.523556785091406,0.459462831571036,0.616119955052984,0.539619350024804
348,0.523604271912348,0.459494421867715,0.616129031215031,0.539625399434678
349,0.52364652854304,0.459633058072519,0.61622818955153,0.539636165657462
350,0.523708414913676,0.459682533302022,0.616328236243732,0.539645813738784
351,0.523776013704765,0.459717357100336,0.616474242332173,0.539692186334318
352,0.523891873822589,0.459772995012276,0.61654496233838,0.539743755933609
353,0.52393546369546,0.459866133377383,0.616642929732228,0.539788041457764
354,0.524029085046716,0.460011332634812,0.616818015902923,0.53989278877739
355,0.524125268574977,0.460090685704463,0.616901823738078,0.539830787120827
356,0.524133875872499,0.460170712428086,0.617040792196339,0.539885834536468
357,0.524216279873732,0.460191355007945,0.617142410179967,0.539906486410115
358,0.524365321622161,0.460288441214751,0.617346862255049,0.539931635381954
359,0.524457245902482,0.460325910356105,0.617463438507497,0.539916136661996
360,0.524545920609943,0.460389509720685,0.617623626103817,0.539881610405697
361,0.524618413844627,0.460454910349674,0.61765747966599,0.539954472012661
362,0.524666171442909,0.460490258806723,0.617800103772164,0.539998128283056
363,0.524700226689365,0.46062610734034,0.617886733339476,0.54005249785837
364,0.524790964961139,0.460773803886426,0.617882271452183,0.540032590632271
365,0.524811847857497,0.460837106906128,0.617962031861351,0.540042056115005
366,0.524902743189295,0.460914207909565,0.618020134299303,0.540095352646845
367,0.524939761404352,0.46101008143803,0.618173417836952,0.540118030479508
368,0.52507111654807,0.461006785762522,0.618266137429009,0.540194705833952
369,0.525241852847974,0.461062170694539,0.618427927392652,0.540229594313857
370,0.525298055112384,0.461115406570135,0.618500762033341,0.540291119482449
371,0.525361324652963,0.461152222581853,0.61857438677206,0.540276558323679
372,0.525449010157927,0.461199290668871,0.61863921636197,0.540312319337995
373,0.525507605371785,0.461279569014327,0.618680077727521,0.540391423118625
374,0.525492311150683,0.46128154472706,0.618786188303166,0.540428068212886
375,0.525550349946881,0.461301431856273,0.618900241741629,0.540438225184771
376,0.525604705369615,0.461338752944748,0.618883005150515,0.540382704745948
377,0.525602480567376,0.461476160537434,0.618945771605344,0.54036835658686
378,0.525616916334769,0.461495166507812,0.619020609740708,0.540441465123229
379,0.525654403813059,0.46146677303915,0.619150290321689,0.54042740262583
380,0.525660898097313,0.461487208440859,0.619207235760329,0.540434077894519
381,0.525724647488325,0.461505182272442,0.619259278994454,0.540468457658453
382,0.52574916069294,0.46159582175194,0.619340229330914,0.540523503201856
383,0.525869963947446,0.461602767691536,0.619422735992886,0.540568783610298
384,0.525884810585835,0.461690602906495,0.61959804697321,0.540541093659762
385,0.525976125976975,0.461764734042737,0.619671582842372,0.540610263092025
386,0.526029020295692,0.461785654145688,0.619755531026642,0.540644142729311
387,0.526057552397807,0.461793585546685,0.619861475817897,0.540680399757007
388,0.52613884799887,0.461927184792247,0.619920623723882,0.540619529960357
389,0.526253225806606,0.46197026686229,0.619856905602903,0.540683207468133
390,0.526316950888299,0.462051555829678,0.61992733523694,0.540784291740422
