Time(min),S 5 5,V 5 5,S 20 20,V 20 20
394,1.8283761418224,1.50428967626993,3.08855472828041,2.41361660370436
395,1.82854236233449,1.50458851328394,3.088319298691,2.41357974451328
396,1.8286957138022,1.50473122358567,3.08853238183038,2.41344627367882
397,1.82884066571973,1.50492691052369,3.08856895583647,2.41293606679777
398,1.82901805639392,1.5049706180638,3.08807531363762,2.41241878123723
399,1.82930585715273,1.5050576822508,3.08749543602786,2.41183769837158
400,1.82945544872349,1.5051197390691,3.08710591954256,2.41167951391191
401,1.82964293592857,1.50527959107202,3.08626065128343,2.41110454743069
402,1.82988692124238,1.505561528164,3.0864717642565,2.41057018356512
403,1.82992020184784,1.50551026327435,3.08681397201736,2.41043764441505
404,1.83017737577633,1.50568841400564,3.08653709828219,2.40974630706478
405,1.83024485579464,1.50577293028682,3.08665662445909,2.40924198138675
