Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
592,467.833333333333,452.166666666666,566.833333333333,417.733333333333,469.766666666666
593,467.8,451.933333333333,566.833333333333,417.666666666666,469.766666666666
594,467.8,451.933333333333,566.833333333333,417.6,469.766666666666
595,467.8,451.933333333333,566.833333333333,417.6,469.766666666666
596,467.733333333333,451.166666666666,566.833333333333,417.566666666666,469.733333333333
597,467.733333333333,451.133333333333,566.8,417.566666666666,469.733333333333
598,467.733333333333,450.366666666666,566.8,417.566666666666,469.666666666666
599,467.733333333333,450.366666666666,566.8,417.566666666666,469.666666666666
600,467.733333333333,450.433333333333,566.766666666666,417.533333333333,469.633333333333
601,467.733333333333,450.266666666666,566.766666666666,417.5,469.566666666666
602,467.733333333333,450.266666666666,566.766666666666,417.466666666666,469.466666666666
603,467.7,450.2,566.766666666666,417.466666666666,469.433333333333
604,467.666666666666,450.066666666666,566.733333333333,417.433333333333,469.4
605,467.666666666666,450.066666666666,566.733333333333,417.433333333333,469.166666666666
606,467.633333333333,449.866666666666,566.733333333333,417.433333333333,469.166666666666
607,467.633333333333,449.833333333333,566.733333333333,417.433333333333,469.066666666666
608,467.633333333333,449.733333333333,566.733333333333,417.4,469.066666666666
609,467.6,449.733333333333,566.733333333333,417.4,469.066666666666
610,467.6,449.666666666666,566.733333333333,417.4,468.933333333333
611,467.6,449.633333333333,566.733333333333,417.366666666666,468.933333333333
612,467.6,449.633333333333,566.733333333333,417.366666666666,468.933333333333
613,467.6,449.633333333333,566.733333333333,417.366666666666,468.933333333333
614,467.6,449.6,566.733333333333,417.366666666666,468.933333333333
615,467.6,449.6,566.733333333333,417.366666666666,468.933333333333
616,467.6,449.6,566.7,417.333333333333,468.933333333333
617,467.6,449.566666666666,566.633333333333,417.333333333333,468.933333333333
618,467.6,449.5,565.366666666666,417.333333333333,468.8
619,467.566666666666,449.5,565.366666666666,417.333333333333,468.8
620,467.566666666666,449.5,565.366666666666,417.333333333333,468.766666666666
621,467.566666666666,449.433333333333,564.966666666666,417.333333333333,468.766666666666
622,467.566666666666,449.366666666666,564.966666666666,417.333333333333,468.733333333333
623,467.566666666666,449.333333333333,564.8,417.333333333333,468.633333333333
624,467.533333333333,449.333333333333,564.766666666666,417.333333333333,468.633333333333
625,467.533333333333,449.333333333333,564.766666666666,417.333333333333,468.566666666666
626,467.533333333333,449.333333333333,564.766666666666,417.333333333333,468.566666666666
627,467.533333333333,449.333333333333,564.766666666666,417.333333333333,468.566666666666
628,467.533333333333,449.333333333333,564.733333333333,417.333333333333,468.566666666666
629,467.533333333333,449.3,564.7,417.333333333333,468.566666666666
630,467.533333333333,449.3,564.633333333333,417.333333333333,468.566666666666
631,467.533333333333,449.2,564.633333333333,417.333333333333,468.533333333333
632,467.533333333333,449.2,564.6,417.333333333333,468.533333333333
633,467.533333333333,449.2,564.6,417.333333333333,468.333333333333
634,467.533333333333,449.2,564.6,417.333333333333,468.333333333333
635,467.5,449.166666666666,564.6,417.333333333333,468.333333333333
636,467.5,449.166666666666,564.566666666666,417.3,468.333333333333
637,467.5,449.133333333333,564.566666666666,417.3,468.333333333333
638,467.5,449.133333333333,564.566666666666,417.3,468.333333333333
639,467.466666666666,449.133333333333,564.466666666666,417.266666666666,468.266666666666
640,467.466666666666,449.133333333333,564.4,417.233333333333,468.166666666666
641,467.466666666666,449.1,564.4,417.233333333333,468.166666666666
642,467.466666666666,449.1,564.4,417.233333333333,468.166666666666
643,467.466666666666,449.033333333333,564.366666666666,417.233333333333,468.133333333333
644,467.466666666666,449,564.366666666666,417.233333333333,468.133333333333
645,467.366666666666,449,564.366666666666,417.233333333333,468.133333333333
646,467.333333333333,448.933333333333,564.366666666666,417.233333333333,468.133333333333
647,467.333333333333,448.933333333333,564.366666666666,417.233333333333,467.966666666666
648,467.333333333333,448.9,564.366666666666,417.166666666666,467.9
649,467.333333333333,448.866666666666,564.333333333333,417.166666666666,467.9
650,467.333333333333,448.866666666666,564.333333333333,417.166666666666,467.866666666666
651,467.2,448.866666666666,564.3,417.166666666666,467.866666666666
652,467.2,448.733333333333,564.3,417.166666666666,467.833333333333
653,467.2,448.666666666666,564.3,417.166666666666,467.8
654,467.2,448.666666666666,564.266666666666,417.166666666666,467.8
655,467.2,448.666666666666,564.233333333333,417.166666666666,467.8
656,467.166666666666,448.6,564.233333333333,417.133333333333,467.733333333333
657,467.166666666666,448.6,564.233333333333,417.1,467.733333333333
658,467.066666666666,448.566666666666,564.2,417.1,467.7
659,467.066666666666,448.533333333333,564.2,417.1,467.7
660,467.066666666666,448.3,564.166666666666,417.1,467.7
661,467.066666666666,448.233333333333,564.166666666666,417.066666666666,467.633333333333
662,467.066666666666,448.166666666666,564.033333333333,417.033333333333,467.533333333333
663,467.066666666666,448.166666666666,564.033333333333,417.033333333333,467.5
664,467.066666666666,448.133333333333,564.033333333333,417.033333333333,467.5
665,467.066666666666,448.133333333333,564.033333333333,417.033333333333,467.5
