Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
76,53363.7469322292,53830.6186415478,53422.5636010411,53233.1538468956,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0557201592,52617.0967640602,52956.6608865644,53192.5732508358,53019.3565769791,52597.2114747857,53085.1703129395,52607.3522026836
77,53363.7469322292,53830.6186415478,53422.5636010411,53233.1538468956,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0557201592,52610.3597851357,52954.6693307285,53197.636734181,53003.1145558659,52580.7634618607,53078.3322847,52623.2024210244
78,53359.8987982501,53830.6186415478,53440.0496018203,53233.1538468956,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0557201592,52629.7293369863,52950.4385882676,53194.5826813228,53003.1145558659,52572.3616218756,53079.2017056769,52623.2024210244
79,53359.8987982501,53830.6186415478,53440.0496018203,53263.1638690018,53456.6651978932,52939.146259952,53246.4548846428,53830.6186415478,53322.1826942053,52912.0505402649,53197.0557201592,52618.4152088914,52949.520825828,53186.8232760138,52997.1596843014,52572.3616218756,53075.9988647593,52634.9872634516
80,53359.8987982501,53830.6186415478,53440.0496018203,53263.1638690018,53447.3304393945,52939.146259952,53246.4548846428,53830.6186415478,53317.964746255,52912.0505402649,53197.0557201592,52627.9943487458,52937.7664706813,53166.7945456633,52986.6973923575,52571.3397012408,53088.3174461047,52638.939226414
81,53355.5557077913,53830.6186415478,53440.0496018203,53263.1638690018,53445.6677512628,52977.7516716012,53246.4548846428,53830.6186415478,53317.964746255,52912.0505402649,53197.0557201592,52624.4441925237,52944.7470545753,53162.3907883488,52985.0571041277,52561.3419845975,53088.3174461047,52638.939226414
82,53351.7075738123,53830.6186415478,53440.0496018203,53263.1638690018,53445.6677512628,52977.7516716012,53246.4548846428,53830.6186415478,53317.964746255,52912.0505402649,53197.0557201592,52624.4441925237,52943.2300122011,53162.5618840701,52975.7928750616,52557.6596707002,53088.3174461047,52634.6530023234
83,53351.7075738123,53830.6186415478,53440.0496018203,53263.1078118335,53445.6677512628,52977.7516716012,53246.4548846428,53830.6186415478,53317.964746255,52912.0505402649,53197.0557201592,52624.4441925237,52940.2882653952,53159.675416734,52972.6690825092,52554.4576108172,53087.8939803543,52633.3031380411
84,53351.7075738123,53830.6186415478,53440.0496018203,53232.9890475,53445.6677512628,52977.7516716012,53246.4548846428,53830.6186415478,53317.964746255,52889.0974104886,53197.0332173869,52632.3935723296,52937.0851969822,53167.9233419201,52974.3736582924,52547.9953930602,53078.934751733,52630.2648030001
85,53351.7075738123,53830.6186415478,53438.2151126101,53203.1943874198,53445.6677512628,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52889.0974104886,53197.0332173869,52632.3935723296,52934.936538868,53167.9233419201,52974.2825678578,52554.9702814404,53080.2793915946,52627.6213787669
86,53351.7075738123,53830.6186415478,53438.2151126101,53203.1943874198,53437.6242337581,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52873.6353457731,53197.0332173869,52639.0082452116,52932.4046168645,53160.4333945888,52974.8844412247,52540.4249219135,53077.3485993524,52634.1074606387
87,53351.7075738123,53830.6186415478,53438.2151126101,53203.1943874198,53439.3226174801,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52873.6353457731,53197.0332173869,52627.6941171167,52933.1607111918,53147.4190933623,52973.0606189814,52532.2798484183,53077.3240172692,52634.1074606387
88,53351.7075738123,53830.6186415478,53445.6896558484,53236.0247982176,53439.3226174801,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52873.6353457731,53197.0332173869,52627.6941171167,52926.4449246128,53147.4190933623,52972.851161587,52530.7084161767,53075.2835002931,52630.9969803169
89,53351.7075738123,53830.6186415478,53445.6896558484,53236.0247982176,53439.3226174801,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52863.1422951761,53197.0332173869,52624.0772527493,52912.8174350243,53142.6219287704,52966.4338897347,52526.7722363533,53070.9252759406,52634.7957672696
90,53343.4436364294,53830.6186415478,53445.6896558484,53236.0247982176,53439.3226174801,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52863.1422951761,53197.0332173869,52624.0772527493,52914.5163587329,53135.9461950938,52966.4338897347,52536.1715814499,53070.9252759406,52619.796738766
91,53343.4436364294,53830.6186415478,53460.3440492208,53236.0247982176,53430.5310921367,52999.0336689045,53246.4548846428,53830.6186415478,53317.964746255,52863.1422951761,53197.0332173869,52624.0772527493,52911.8753240202,53135.9461950938,52963.7011059155,52535.8184337435,53067.1588086189,52613.7130309408
92,53343.4436364294,53830.6186415478,53440.3642408819,53236.0247982176,53430.5310921367,53008.4289081636,53246.4548846428,53830.6186415478,53317.964746255,52863.1422951761,53197.0332173869,52624.0772527493,52904.7225451187,53135.3913274197,52960.8367757279,52535.2649793886,53052.8344375885,52609.7465720693
93,53343.4436364294,53830.6186415478,53440.3642408819,53236.0247982176,53430.5310921367,53008.4289081636,53246.4548846428,53830.6186415478,53317.964746255,52863.1422951761,53197.0107146146,52617.3749933868,52904.1232466112,53125.2131251882,52947.7115279779,52540.2227966189,53048.2096517945,52603.7766374372
